V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q17,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,lvl1,lvl2,lvl3,lvl4,growth1,growth2,growth3,growth4,fix1,fix2,fix3,fix4,fix5,fix6,fix7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,redist1,redist2,redist3,redist4,competent,confident,independent,competitive,intelligent,tolerant,warm,good.natured,sincere,wg1,wg2,wg3,wg4,wg5,emp1,emp2,emp3,emp4,emp5,emp6,pt1,pt2,pt3,gender,age,ethnicity,income,ideology,social.iss,econ.iss,partyID
R_9t046QRpZS6pOxD,Default Response Set,Anonymous,,,71.244.103.45,0,21/02/2017 8:00,21/02/2017 8:03,1,1,6,6,6,6,2,2,2,2,6,2,2,6,6,5,5,3,5,2,5,5,5,3,5,3,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,4,2,2,2,4,4,4,1,40,asian,5,1,1,1,1
R_ehOqc2dGDcuiwqF,Default Response Set,Anonymous,,,70.168.7.208,0,21/02/2017 7:55,21/02/2017 8:03,1,1,4,5,6,4,4,3,2,2,5,2,3,3,6,6,4,4,2,3,4,6,6,1,3,5,3,2,3,2,4,3,4,2,2,4,2,3,3,4,2,4,4,4,3,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,6,3,4,4,2,2,1,4,3,3,1,61,white,3,5,5,5,2
R_ereAsIYFNjDXHoh,Default Response Set,Anonymous,,,108.81.159.128,0,21/02/2017 7:55,21/02/2017 8:03,1,1,1,1,1,1,7,7,7,7,1,7,7,4,1,7,4,7,1,1,4,4,4,7,4,7,5,3,5,3,3,1,3,5,3,3,3,4,3,3,4,3,3,3,3,1,3,1,3,3,3,3,3,2,3,3,3,1,4,1,1,7,2,4,5,5,3,2,3,2,2,1,43,White,3,7,1,7,3
R_3faupDVK0GUIZnv,Default Response Set,Anonymous,,,209.54.17.215,0,21/02/2017 7:55,21/02/2017 8:03,1,1,3,3,4,2,5,5,5,5,3,2,2,2,2,6,4,2,4,2,3,6,5,3,3,6,2,4,2,2,4,2,2,3,2,2,2,4,4,3,2,2,4,3,3,1,3,1,3,2,3,1,3,4,3,3,4,5,5,5,4,3,2,4,4,2,2,1,3,4,4,2,39,White,3,6,6,6,3
R_9BwQMeJUlDVMJKZ,Default Response Set,Anonymous,,,107.12.139.195,0,21/02/2017 8:00,21/02/2017 8:03,1,1,5,5,5,4,4,2,4,3,6,4,3,5,3,5,5,4,5,5,5,6,6,4,4,5,4,2,3,4,4,4,3,4,2,4,3,4,2,3,4,2,3,3,3,3,2,2,2,1,2,1,2,1,3,3,3,2,5,2,2,5,2,4,4,2,2,1,4,3,3,2,33,american/white,3,3,3,3,1
R_095GaQ0OOenwX9X,Default Response Set,Anonymous,,,83.132.255.97,0,21/02/2017 7:54,21/02/2017 8:03,1,1,4,6,6,2,3,1,1,1,7,2,2,5,7,5,4,2,4,1,2,6,5,5,2,6,2,2,2,2,4,3,4,2,2,4,3,3,4,4,2,4,3,4,1,1,1,1,4,4,4,2,4,4,4,4,4,4,4,5,6,4,1,5,5,1,1,2,5,5,4,2,27,caucasian,3,6,7,6,4
R_292tZQAVC94b3jn,Default Response Set,Anonymous,,,98.193.142.151,0,21/02/2017 8:00,21/02/2017 8:03,1,1,2,5,5,5,3,3,2,2,5,3,3,5,5,3,5,3,5,5,5,5,5,2,5,3,4,3,4,4,4,4,4,3,4,4,4,5,4,4,4,4,5,4,3,3,2,2,2,1,1,1,2,3,2,2,3,5,2,5,5,3,2,4,4,2,1,2,4,4,4,2,34,white,9,5,3,6,3
R_3DxfrOSBupdOSr3,Default Response Set,Anonymous,,,47.211.101.42,0,21/02/2017 7:58,21/02/2017 8:03,1,1,7,7,7,1,1,1,7,1,1,1,1,7,7,7,7,1,7,2,2,4,2,7,2,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,2,2,5,5,2,2,2,4,4,4,1,26,White,2,4,4,4,2
R_aVNQgFYKRT1S56Z,Default Response Set,Anonymous,,,70.160.42.174,0,21/02/2017 7:57,21/02/2017 8:04,1,1,6,7,7,7,2,1,1,1,6,1,2,4,6,5,4,2,4,1,1,1,1,4,1,1,4,1,3,3,4,4,3,3,3,4,3,4,3,3,3,4,3,4,4,4,4,4,3,2,2,1,3,2,3,3,3,2,2,6,6,4,2,4,5,1,1,1,4,4,4,2,33,Black-African American,1,3,3,3,1
R_07Dt5WEKpKwGjRP,Default Response Set,Anonymous,,,99.89.112.21,0,21/02/2017 7:58,21/02/2017 8:04,1,1,7,7,7,7,1,1,1,1,7,1,1,1,7,7,7,1,7,1,1,7,1,7,1,7,1,3,3,4,3,5,4,3,3,3,3,4,5,3,1,4,4,3,4,4,4,4,5,5,5,1,5,5,5,5,5,1,1,4,7,4,1,5,5,1,1,1,5,5,1,2,55,Caucasian,1,4,4,4,2
R_9twzMhOeWNsUUOF,Default Response Set,Anonymous,,,184.91.238.146,0,21/02/2017 7:57,21/02/2017 8:04,1,1,3,6,6,6,2,2,2,3,6,2,2,4,6,6,4,2,2,2,6,6,6,6,2,6,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,4,1,3,1,3,4,4,4,4,2,2,3,3,6,2,4,5,2,2,2,4,4,4,2,61,white,10,3,3,3,2
R_eFqNTSiWNjv2fqZ,Default Response Set,Anonymous,,,216.81.94.72,0,21/02/2017 7:59,21/02/2017 8:04,1,1,3,2,2,2,5,4,4,4,2,5,3,5,6,5,3,3,5,6,6,7,6,2,6,2,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,3,2,3,2,2,1,1,1,1,1,3,2,3,3,5,2,2,6,1,5,4,3,2,1,2,4,3,1,36,Asian,10,6,6,6,3
R_1ZIct7isAOFJDNz,Default Response Set,Anonymous,,,76.179.59.159,0,21/02/2017 8:02,21/02/2017 8:04,1,1,1,3,2,6,3,2,4,4,5,2,3,4,3,1,4,3,5,3,2,5,3,6,4,4,3,2,4,3,3,2,4,1,4,2,3,1,3,3,4,2,5,3,2,2,3,1,2,3,3,3,1,4,2,2,4,4,2,5,3,5,5,3,3,3,2,4,3,4,2,2,22,Hispanic ,7,1,1,1,1
R_3VhMRPXA9bucIPr,Default Response Set,Anonymous,,,67.158.18.207,0,21/02/2017 7:57,21/02/2017 8:04,1,1,6,6,6,6,2,2,2,2,6,3,2,5,6,5,6,3,5,2,2,5,2,3,2,6,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,2,2,2,3,3,3,3,3,5,4,5,5,3,2,4,4,2,2,1,4,4,4,2,36,Caucasian ,6,2,2,2,1
R_24s8YjVXIQY1BWJ,Default Response Set,Anonymous,,,50.179.103.226,0,21/02/2017 7:59,21/02/2017 8:04,1,1,6,6,7,6,2,2,2,2,6,2,2,6,6,5,4,3,4,3,3,4,3,2,3,6,2,3,3,4,4,4,4,2,3,2,3,2,3,4,2,4,4,4,4,4,4,4,1,1,4,1,3,4,4,4,4,5,2,6,6,3,2,3,4,2,2,1,4,4,4,2,33,South Asian,8,6,6,3,2
R_2bEAOZsKIP8wcdf,Default Response Set,Anonymous,,,108.198.193.127,0,21/02/2017 7:55,21/02/2017 8:04,1,1,5,6,6,6,3,3,2,2,6,3,2,5,6,5,6,2,3,5,5,6,5,2,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,2,3,4,4,3,2,2,5,5,6,2,4,5,1,1,1,4,4,4,2,34,white,1,3,3,3,1
R_51maCJimTFl2Wbj,Default Response Set,Anonymous,,,65.34.151.226,0,21/02/2017 7:55,21/02/2017 8:04,1,1,7,7,7,7,1,1,1,1,7,1,1,7,7,6,7,1,7,1,1,6,5,1,1,7,1,1,1,1,1,4,1,3,1,1,1,4,2,1,1,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,6,1,5,5,1,1,1,5,5,5,1,33,African American,4,4,3,3,1
R_0DtnmrZIG9PlAoZ,Default Response Set,Anonymous,,,73.228.189.76,0,21/02/2017 7:55,21/02/2017 8:04,1,1,5,4,5,5,3,3,2,2,5,3,2,3,6,5,4,3,4,3,3,6,5,2,3,5,4,3,2,2,2,4,2,3,2,3,4,4,2,3,3,2,2,4,3,3,3,3,2,2,2,2,2,3,2,3,3,3,4,3,3,5,3,4,4,2,2,1,3,3,3,2,55,asian,9,5,5,6,2
R_8jJopErqxOdsOfH,Default Response Set,Anonymous,,,173.72.150.251,0,21/02/2017 8:01,21/02/2017 8:05,1,1,2,4,2,2,5,4,4,4,6,2,6,1,5,6,4,4,2,4,2,6,6,1,2,5,2,1,2,2,4,2,3,1,3,3,3,5,3,1,1,3,5,3,3,1,4,4,3,3,3,3,3,3,3,3,3,1,2,1,1,7,1,4,4,4,4,4,3,4,1,1,24,Asian,1,4,4,6,2
R_eUOS5JSZXblNBCl,Default Response Set,Anonymous,,,72.229.132.205,0,21/02/2017 8:01,21/02/2017 8:05,1,1,6,6,7,6,2,2,2,2,7,2,2,6,6,4,5,2,5,2,3,3,2,6,2,6,4,3,3,4,4,3,4,3,3,4,3,3,3,3,3,4,4,3,3,3,4,4,3,2,2,3,3,3,4,4,4,3,4,4,4,4,2,4,5,2,2,1,4,4,4,2,50,white/Caucasian,6,2,1,3,1
R_bPhz7oIcUWYXnmJ,Default Response Set,Anonymous,,,98.10.240.105,0,21/02/2017 7:55,21/02/2017 8:05,1,1,4,3,4,6,3,1,2,2,5,3,2,6,6,2,5,3,2,2,2,6,6,2,3,6,4,2,3,4,4,2,4,2,4,4,2,4,3,4,2,5,,3,3,3,3,3,3,1,3,2,3,3,3,3,4,3,3,5,2,5,2,4,4,2,2,1,3,4,2,1,39,Caucasian,5,5,6,4,3
R_dcBEobk9tMI794x,Default Response Set,Anonymous,,,12.218.182.74,0,21/02/2017 8:00,21/02/2017 8:05,1,1,3,3,6,6,3,1,2,2,6,2,3,5,5,6,2,3,2,2,3,6,3,2,2,5,2,3,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,4,3,2,3,3,1,1,1,1,2,2,2,3,2,1,3,1,1,5,2,4,3,4,1,2,3,4,3,1,32,white,3,4,3,5,1
R_aUVvtgV229U8Idf,Default Response Set,Anonymous,,,70.195.198.173,0,21/02/2017 8:02,21/02/2017 8:05,1,1,6,6,3,3,6,5,6,3,5,3,5,6,5,5,3,3,3,5,3,5,6,5,3,5,4,2,4,2,2,4,2,2,2,4,2,2,4,4,4,4,4,4,3,2,2,3,2,3,3,3,2,2,2,3,3,3,6,5,3,3,4,4,2,4,2,2,4,2,2,1,30,asian,4,4,5,5,1
R_4YrXNHWxEtRabad,Default Response Set,Anonymous,,,12.236.238.7,0,21/02/2017 7:53,21/02/2017 8:05,1,1,7,7,7,7,2,2,2,2,7,2,2,6,7,3,7,2,6,3,3,5,2,6,3,6,1,4,1,1,2,2,3,2,3,3,3,2,2,4,2,3,3,2,4,4,3,3,2,3,3,2,3,4,4,4,4,2,2,3,6,4,2,4,4,1,4,1,4,4,4,2,25,white,3,2,2,2,2
R_cTIr0rw7kSFh96B,Default Response Set,Anonymous,,,216.66.74.22,0,21/02/2017 8:01,21/02/2017 8:06,1,1,7,7,7,7,1,1,1,1,7,1,1,5,7,1,7,1,7,1,1,1,1,7,1,7,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,4,4,4,4,3,2,2,2,3,2,3,3,3,4,1,5,4,4,1,5,5,1,1,1,4,4,4,2,46,caucasian,5,5,5,4,3
R_38AtJJKIZFQGe0Z,Default Response Set,Anonymous,,,216.196.207.66,0,21/02/2017 7:59,21/02/2017 8:06,1,1,5,6,6,6,2,1,3,3,6,2,2,6,6,3,6,2,7,2,2,4,3,5,2,6,3,3,4,4,4,5,5,3,2,4,2,4,5,3,2,4,4,4,4,4,4,4,3,1,1,1,3,3,3,3,3,5,3,5,6,3,2,4,5,1,2,2,4,4,4,2,25,White,3,2,2,4,1
R_cNfZjII2k3zlahn,Default Response Set,Anonymous,,,47.186.142.146,0,21/02/2017 7:57,21/02/2017 8:06,1,1,5,5,6,5,1,2,3,3,6,2,2,2,6,5,4,4,2,1,2,5,2,4,1,6,2,3,2,2,4,3,3,2,4,4,3,3,4,2,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,4,4,4,2,4,5,5,2,3,4,3,2,2,3,3,3,4,27,white,3,4,3,3,2
R_5t16U18hJ69V2Id,Default Response Set,Anonymous,,,68.63.115.4,0,21/02/2017 7:58,21/02/2017 8:06,1,1,1,1,1,1,5,6,5,5,1,5,5,2,3,5,2,4,3,4,4,6,5,1,6,2,4,3,4,4,5,3,5,4,4,5,3,4,4,5,3,5,5,5,3,1,2,1,2,1,1,1,3,2,2,2,2,1,1,1,1,7,2,3,4,1,1,1,4,3,3,2,670,white,2,6,7,7,3
R_0IZUy09gqnEoKmp,Default Response Set,Anonymous,,,45.36.198.214,0,21/02/2017 8:01,21/02/2017 8:06,1,1,7,7,7,7,1,1,1,1,7,1,1,6,7,7,6,5,7,1,1,3,1,6,1,7,2,2,4,1,4,5,4,4,3,4,2,5,2,4,5,4,4,4,4,4,4,4,4,3,3,3,4,4,5,4,5,1,1,2,5,7,1,5,5,4,1,1,5,5,2,1,27,white,1,1,1,1,1
R_bjzUk5U8wSuoBaB,Default Response Set,Anonymous,,,174.27.115.54,0,21/02/2017 7:53,21/02/2017 8:06,1,1,7,7,7,7,1,1,1,1,7,1,1,2,7,1,7,3,7,2,1,6,2,3,1,6,4,2,4,1,2,4,2,4,1,3,2,4,2,4,2,4,2,4,4,4,4,4,3,2,2,3,3,4,4,3,4,3,1,3,6,5,2,4,4,2,1,1,3,3,3,1,57,white,1,6,6,6,3
R_emuZmEkFxPWGEhn,Default Response Set,Anonymous,,,165.234.184.46,0,21/02/2017 7:59,21/02/2017 8:06,1,1,4,4,4,3,4,5,3,5,4,5,6,4,5,7,3,4,3,4,4,4,6,5,5,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,2,2,3,3,3,3,3,2,4,3,3,6,2,4,4,2,3,1,3,4,3,2,29,white,2,5,5,6,3
R_eWhEb1Zpx5i6sRL,Default Response Set,Anonymous,,,76.106.103.160,0,21/02/2017 8:02,21/02/2017 8:06,1,1,4,6,6,6,6,1,7,1,6,4,4,4,4,4,3,4,4,3,3,2,3,4,4,2,3,3,3,3,3,5,5,3,2,3,3,2,2,2,1,2,2,3,4,3,4,4,5,5,4,3,5,4,3,5,4,1,1,1,7,1,1,5,5,1,1,1,5,5,5,2,29,Native American,3,7,7,7,3
R_6hBU0B5qDJY8QNT,Default Response Set,Anonymous,,,112.207.48.199,0,21/02/2017 8:04,21/02/2017 8:07,1,1,5,5,4,4,5,4,5,6,5,5,5,5,6,6,5,5,5,5,5,5,5,6,6,4,4,5,4,4,4,3,4,5,4,3,4,4,5,4,4,3,3,4,3,3,2,3,3,4,3,3,3,4,4,4,3,5,6,5,5,4,4,4,5,4,3,4,4,3,4,1,29,White,4,3,3,3,1
R_73C6hLqszfnOhz7,Default Response Set,Anonymous,,,45.26.21.158,0,21/02/2017 7:55,21/02/2017 8:07,1,1,6,6,6,6,2,2,2,2,6,2,2,6,6,4,6,2,5,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,2,2,4,4,4,3,4,4,4,4,4,3,2,4,4,6,2,4,5,1,1,1,4,5,5,2,52,white,2,1,1,1,1
R_a8JUYhacKXkuWtD,Default Response Set,Anonymous,,,23.112.46.11,0,21/02/2017 8:00,21/02/2017 8:07,1,1,5,5,5,4,3,2,4,4,5,2,3,5,5,3,6,2,2,3,5,5,2,2,5,5,4,1,3,4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,3,3,2,2,3,3,4,3,2,4,3,3,2,5,3,5,5,6,2,4,4,2,1,2,3,3,1,2,36,asian,8,5,5,5,3
R_3Jcsw0KeoOYZIWN,Default Response Set,Anonymous,,,130.91.90.102,0,21/02/2017 7:57,21/02/2017 8:07,1,1,6,4,5,5,3,3,3,3,5,2,2,5,5,5,4,4,3,2,5,5,5,2,3,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,3,3,3,2,3,4,2,4,5,6,2,4,5,1,2,1,4,4,4,1,46,Asian,13,6,6,6,3
R_cwEIlIKpNXBGzvn,Default Response Set,Anonymous,,,209.140.46.252,0,21/02/2017 7:57,21/02/2017 8:07,1,1,4,5,7,6,2,1,1,3,4,1,5,4,6,4,3,2,2,2,6,2,1,6,2,6,3,3,4,3,3,2,3,3,4,3,5,3,4,4,3,4,1,3,3,4,3,3,3,2,1,2,3,2,2,4,2,2,1,5,5,6,1,5,5,1,1,1,4,4,4,2,33,Hispanic,3,3,4,3,1
R_dgwtKZ0usBnF5Zz,Default Response Set,Anonymous,,,172.56.34.182,0,21/02/2017 7:58,21/02/2017 8:08,1,1,6,6,6,6,3,2,3,3,6,2,2,3,6,5,4,5,2,2,2,5,2,2,2,6,3,4,4,2,4,2,4,4,2,3,3,4,4,4,2,4,4,4,4,3,4,4,3,2,4,4,3,2,2,3,2,2,2,2,1,5,2,4,4,4,2,2,1,2,2,1,33,Hispanic,7,2,2,3,1
R_0k52D12ydbrHNzf,Default Response Set,Anonymous,,,68.185.211.97,0,21/02/2017 8:03,21/02/2017 8:08,1,1,6,6,7,6,2,1,1,1,6,2,1,4,6,4,4,4,4,2,1,2,2,5,2,6,2,3,2,3,3,4,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,4,7,6,2,2,4,4,2,2,1,4,3,3,2,31,Caucasian,4,3,3,3,2
R_2hKoIurk62uhIdn,Default Response Set,Anonymous,,,24.44.220.62,0,21/02/2017 8:01,21/02/2017 8:08,1,1,7,7,7,6,2,1,2,1,7,3,2,6,7,6,4,2,3,2,3,7,1,3,2,2,2,2,4,3,4,2,4,2,3,4,2,4,4,4,2,4,4,4,4,3,2,2,4,1,3,3,4,1,4,4,4,3,1,3,2,3,4,2,5,2,2,1,4,5,5,2,40,white ,5,6,6,6,2
R_esbDk93vcYEfa1n,Default Response Set,Anonymous,,,108.171.130.173,0,21/02/2017 8:04,21/02/2017 8:08,1,1,5,2,4,3,4,2,5,4,3,2,3,4,6,6,2,4,2,5,3,6,6,2,5,3,3,2,4,3,3,3,3,4,2,3,2,3,3,4,3,3,4,3,3,2,3,2,3,2,2,1,3,3,2,2,3,2,2,3,5,6,3,2,4,3,2,2,4,3,2,2,35,american,5,4,1,7,1
R_20p20kiuTvkJIWh,Default Response Set,Anonymous,,,54.144.194.63,0,21/02/2017 8:04,21/02/2017 8:09,1,1,5,5,5,6,6,5,4,4,6,6,4,5,6,6,6,7,5,6,6,5,5,4,6,5,5,4,3,4,5,4,3,4,3,4,3,4,5,4,3,4,5,4,3,2,3,4,4,2,3,4,3,5,4,5,3,6,5,6,5,4,4,5,4,3,4,3,4,2,4,1,25,white,8,7,6,6,3
R_7NUKuucQKrNUq2N,Default Response Set,Anonymous,,,98.26.164.174,0,21/02/2017 8:00,21/02/2017 8:09,1,1,5,5,5,6,3,3,3,3,5,3,2,5,6,4,6,3,5,3,3,3,3,4,3,5,3,2,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,2,2,3,3,2,2,3,2,3,3,2,3,3,4,3,4,6,5,2,4,5,2,2,2,5,5,5,1,71C,Caucasian,4,3,3,4,1
R_dcEqcv5OB0xXKuh,Default Response Set,Anonymous,,,24.14.170.44,0,21/02/2017 8:03,21/02/2017 8:09,1,1,7,7,7,7,1,1,1,1,7,1,1,4,7,7,7,1,7,1,1,4,1,4,1,7,1,1,1,1,3,5,3,3,2,3,1,3,4,3,1,3,3,3,4,4,4,4,5,5,5,3,5,5,5,5,5,1,4,7,6,4,1,5,5,1,1,5,5,5,5,2,54,African American,8,3,3,2,1
R_3eA02gcvbkjbJxX,Default Response Set,Anonymous,,,216.188.251.90,0,21/02/2017 8:06,21/02/2017 8:09,1,1,6,5,6,2,3,3,4,4,4,1,1,5,6,5,2,5,1,4,4,4,4,2,4,4,1,1,4,1,4,3,4,1,1,4,1,3,2,5,3,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,7,4,2,5,1,1,1,4,1,1,2,40,White,15,7,7,7,3
R_1AYdjm3jBLJlHIF,Default Response Set,Anonymous,,,162.216.46.75,0,21/02/2017 7:54,21/02/2017 8:10,1,1,5,5,5,5,3,3,3,3,4,5,4,4,5,5,5,4,5,3,3,4,3,5,3,5,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,2,4,4,2,2,2,4,4,2,1,33,white,6,2,2,2,2
R_5z1KoCN4ZWX1mXX,Default Response Set,Anonymous,,,107.130.159.70,0,21/02/2017 8:03,21/02/2017 8:10,1,1,5,7,7,5,2,1,2,2,6,2,3,7,7,6,6,7,5,2,3,5,6,2,2,6,4,4,5,4,4,5,5,2,5,5,4,3,5,1,5,4,4,3,3,3,4,3,4,2,3,4,4,5,3,4,4,2,1,6,5,6,2,5,5,1,1,1,5,4,4,1,30,Latino,2,7,6,6,3
R_3fnFWeFhvNGrOZf,Default Response Set,Anonymous,,,65.128.68.185,0,21/02/2017 8:07,21/02/2017 8:10,1,1,6,7,6,7,2,3,2,2,6,3,3,6,6,5,5,4,3,4,3,5,4,5,4,5,4,3,4,4,4,4,4,5,4,4,3,4,4,3,3,4,4,4,3,3,3,3,4,3,4,4,2,3,3,3,3,3,6,4,2,2,2,4,4,4,3,4,3,3,3,1,38,Spanish,15,2,2,2,1
R_e8oMLVmjXzl3wJ7,Default Response Set,Anonymous,,,67.175.64.6,0,21/02/2017 7:56,21/02/2017 8:11,1,1,5,4,5,5,5,3,3,2,4,3,2,3,5,7,5,3,5,4,5,5,5,4,5,4,3,1,4,3,4,3,4,4,3,5,3,4,4,4,3,4,4,4,3,3,2,2,1,1,1,1,1,1,2,2,2,3,5,5,3,5,2,4,3,2,2,1,3,5,2,1,29,white,3,3,3,5,2
R_0iGD99C9Uye7yBv,Default Response Set,Anonymous,,,174.19.233.130,0,21/02/2017 8:03,21/02/2017 8:11,1,1,6,6,6,6,2,1,1,1,6,1,1,7,7,1,6,1,6,1,6,1,1,1,1,6,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,4,4,4,1,5,5,1,1,1,1,1,1,1,19,Hispanic,8,4,3,5,1
R_01Wlr7i2ZtRgOGx,Default Response Set,Anonymous,,,70.208.199.200,0,21/02/2017 8:03,21/02/2017 8:11,1,1,5,5,5,5,3,3,3,3,5,3,5,5,5,5,5,3,4,3,3,4,5,5,3,5,4,2,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,5,5,4,4,4,4,2,2,2,4,4,4,2,33,white,2,7,7,7,1
R_9uarEGQS6AfbCOV,Default Response Set,Anonymous,,,76.8.108.170,0,21/02/2017 8:03,21/02/2017 8:12,1,1,2,2,3,3,7,5,5,5,3,5,7,3,3,3,3,5,1,5,5,7,6,4,6,2,4,3,5,4,5,4,4,4,4,5,5,5,5,4,3,4,4,5,3,2,2,2,4,2,2,3,3,2,2,3,2,1,1,1,1,6,2,4,5,2,1,2,3,4,4,1,39,caucasian,2,5,6,5,2
R_4YLmzyl9AcIRsoJ,Default Response Set,Anonymous,,,70.208.199.200,0,21/02/2017 7:54,21/02/2017 8:12,1,1,5,5,6,5,3,3,3,3,5,4,3,5,3,5,5,3,4,3,3,5,5,5,3,5,4,3,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,5,2,4,4,5,2,2,2,4,4,4,1,42,white,2,7,7,7,1
R_eteesmPLBEEc7v7,Default Response Set,Anonymous,,,198.7.58.147,0,21/02/2017 8:05,21/02/2017 8:12,1,1,7,7,7,7,1,1,1,1,7,1,1,1,7,3,4,1,5,1,3,5,5,1,1,7,3,3,2,3,4,3,2,2,3,3,3,3,2,3,1,3,3,3,4,3,4,4,3,2,3,2,3,3,3,3,2,1,1,1,4,7,3,3,5,3,1,1,4,3,2,1,34,Asian,3,2,1,2,1
R_8xjyayVuTKDHjlb,Default Response Set,Anonymous,,,50.137.39.189,0,21/02/2017 8:06,21/02/2017 8:12,1,1,6,6,6,6,2,2,2,2,6,2,2,5,6,3,6,3,6,2,2,2,2,5,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,6,6,6,6,2,2,4,4,2,2,2,4,4,4,2,29,White,1,1,1,1,1
R_4ImRndBYxz7EXiJ,Default Response Set,Anonymous,,,162.199.206.141,0,21/02/2017 8:01,21/02/2017 8:13,1,1,3,3,7,6,1,2,2,1,5,1,1,5,6,7,4,3,3,2,2,3,2,1,2,6,2,3,4,2,1,4,2,4,2,2,2,2,4,4,4,2,2,2,4,3,4,3,3,4,5,4,3,3,3,3,5,1,4,1,1,7,1,4,5,5,1,1,4,2,3,1,23,African American,7,4,4,2,2
R_bC8uN1RlhtOd12J,Default Response Set,Anonymous,,,12.39.8.218,0,21/02/2017 8:08,21/02/2017 8:13,1,1,7,7,7,7,1,1,1,1,7,1,1,6,7,3,7,1,7,1,1,6,1,6,1,5,2,2,2,2,3,4,3,2,4,4,3,2,3,2,2,3,4,4,4,4,4,4,4,1,3,3,3,4,4,4,5,1,2,5,7,5,2,4,5,3,4,1,4,4,4,1,33,HISPANIC,6,3,3,3,1
R_b2Q0FLvQ3amHUWh,Default Response Set,Anonymous,,,69.150.239.200,0,21/02/2017 8:07,21/02/2017 8:13,1,1,5,5,6,6,2,2,2,2,5,4,3,3,6,4,6,3,2,2,2,5,3,3,2,6,2,3,4,2,3,4,4,2,3,2,3,3,2,4,2,3,4,3,3,3,2,2,2,1,2,2,3,4,2,3,2,3,2,5,5,2,2,4,4,2,2,2,2,2,2,1,30,White,4,2,1,4,1
R_86b6hVambJgFmdL,Default Response Set,Anonymous,,,69.174.160.80,0,21/02/2017 8:03,21/02/2017 8:13,1,1,6,6,5,5,2,2,2,3,6,1,3,3,6,5,4,4,4,1,3,7,5,2,1,6,4,2,1,1,4,3,3,4,2,4,2,2,3,2,1,3,3,2,4,3,4,4,3,3,2,3,3,3,4,3,3,5,4,5,5,3,4,4,5,2,2,1,4,4,3,2,39,caucasian,6,3,3,4,1
R_dgJZ2TKN7uOqtCd,Default Response Set,Anonymous,,,98.101.111.14,0,21/02/2017 8:09,21/02/2017 8:13,1,1,7,7,7,7,1,1,1,1,7,1,1,7,7,1,7,1,7,1,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,6,1,6,6,5,2,2,2,2,2,2,4,4,4,2,30,white,6,1,1,1,1
