V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q17,tol1,tol2,tol3,tol4,tol5,amount1,amount2,amount3,amount4,growth1,growth2,growth3,growth4,fixable1,fixable2,fixable3,fixable4,fixable5,fixable6,fixable7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,esjt1,esjt2,esjt3,esjt4,esjt5,esjt6,esjt7,esjt8,esjt9,esjt10,esjt11,esjt12,esjt13,esjt14,esjt15,esjt16,esjt17,pwe1,pwe2,pwe3,pwe4,pwe5,pwe6,pwe7,pwe8,pwe9,pwe10,pwe11,pwe12,pwe13,pwe14,pwe15,pwe16,pwe17,pwe18,pwe19,wvs,issp,inegal1,inegal2,inegal3,inegal4,inegal5,inegal6,inegal7,inegal8,redist1,redist2,redist3,redist4,Q28,Q29,dict.give,gender,age,ethnicity,income,ideol,soc.att,econ.att,partyID,Q18,comp.code
R_3EEkqbDqP2d9ArB,Default Response Set,Anonymous,,,173.91.10.174,0,2018-05-08 11:36,2018-05-08 11:43,1,1,5,5,4,3,2,3,3,3,5,4,5,4,4,2,3,4,3,4,3,5,3,4,3,3,3,3,3,2,3,2,3,4,3,3,3,2,3,3,6,6,4,3,5,2,6,6,3,6,3,5,2,3,6,6,5,3,5,5,4,5,6,5,6,6,5,6,4,7,3,5,5,3,5,4,5,4,5,5,4,4,3,4,4,5,4,5,4,5,4,4,5,3,4,3,3,3,4,4,3,4,4,4,4,1,1,1,2,24,Caucasian,2,2,2,4,1,1,3517
R_3HLDJbxlNDYFXzK,Default Response Set,Anonymous,,,162.243.127.7,0,2018-05-08 11:34,2018-05-08 11:43,1,1,5,6,4,4,5,3,5,6,4,4,6,3,5,3,5,4,6,5,4,5,4,5,3,3,2,4,5,4,2,3,3,4,5,4,3,3,2,4,6,4,3,4,4,6,5,6,4,3,4,5,6,3,5,4,5,7,5,5,6,4,7,6,4,7,3,4,6,4,2,2,6,4,5,4,3,6,6,5,3,5,7,4,3,5,5,6,6,4,3,7,6,4,5,3,5,4,4,5,3,3,2,2,4,1,1,8,1,27,White,7,6,6,6,3,1,9607
R_3r0epZW5YFXN13H,Default Response Set,Anonymous,,,216.114.194.178,0,2018-05-08 11:28,2018-05-08 11:43,1,1,6,7,6,3,1,2,3,5,6,5,3,2,6,2,3,5,3,3,2,6,3,2,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,6,6,3,3,6,4,6,6,4,6,3,6,4,4,7,9,8,2,8,4,3,9,4,3,5,6,4,7,2,7,2,3,5,3,6,7,6,4,6,6,5,7,5,6,2,5,5,6,6,7,6,2,6,3,3,3,1,3,3,4,3,4,4,3,3,1,1,6,2,53,German,7,2,2,2,2,1,9379
R_VQmr6eOPPoCvk9X,Default Response Set,Anonymous,,,38.95.111.36,0,2018-05-08 11:34,2018-05-08 11:43,1,1,5,5,6,3,2,5,6,6,5,6,6,5,5,2,6,5,6,5,3,5,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,2,3,5,3,5,6,2,5,3,5,2,2,6,6,7,6,7,6,6,6,5,6,6,5,5,6,7,6,6,7,5,6,5,5,5,5,6,5,5,6,6,5,5,5,6,5,5,5,6,4,5,4,4,3,3,4,4,4,3,3,3,2,3,1,1,3,2,28,Black,15,5,5,3,1,1,6899
R_1rpG1EkI0XbNat7,Default Response Set,Anonymous,,,174.224.140.208,0,2018-05-08 11:37,2018-05-08 11:43,1,1,7,7,7,1,1,3,1,6,7,6,7,5,7,1,1,1,1,6,1,7,4,5,4,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,7,7,1,1,7,1,7,7,1,6,1,7,1,1,7,8,9,8,9,9,9,3,9,9,8,1,9,9,1,9,1,1,1,1,1,3,6,2,5,5,7,5,2,2,1,1,6,5,7,5,1,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,5,1,27,White,6,2,2,2,1,1,4573
R_21sVDTFfROXeAXF,Default Response Set,Anonymous,,,69.116.6.76,0,2018-05-08 11:37,2018-05-08 11:43,1,1,7,6,7,1,1,7,1,7,7,4,4,2,4,1,7,7,6,1,5,7,4,4,3,3,4,4,4,2,4,4,4,4,4,2,4,4,4,4,6,7,1,1,7,1,7,7,1,7,1,7,1,1,7,8,5,5,4,8,6,4,4,5,5,7,6,6,7,6,1,5,2,2,2,2,1,1,6,6,2,6,2,2,6,7,7,6,4,6,6,1,7,1,1,5,1,5,1,1,3,2,4,4,4,1,1,5,2,22,Bangladeshi,4,2,2,2,1,1,2064
R_tXS7GcR0RgKP17z,Default Response Set,Anonymous,,,190.124.31.45,0,2018-05-08 11:36,2018-05-08 11:43,1,1,2,4,4,4,3,4,4,3,3,5,4,3,3,3,4,4,2,3,3,4,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,5,3,3,3,3,4,3,4,3,5,3,3,4,2,3,4,3,5,3,3,4,3,3,5,3,4,3,4,3,4,3,5,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,5,3,3,4,3,4,3,3,4,3,2,3,2,3,1,1,4,2,28,latin,15,6,6,6,1,1,3559
R_3h60iUyDoFC3d28,Default Response Set,Anonymous,,,74.75.124.55,0,2018-05-08 11:36,2018-05-08 11:43,1,1,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,3,4,4,3,3,3,4,3,2,2,2,3,1,1,6,2,31,White,5,5,3,5,3,1,8959
R_1owmMfmvtlooKiy,Default Response Set,Anonymous,,,71.198.74.130,0,2018-05-08 11:38,2018-05-08 11:43,1,1,5,5,5,2,1,3,2,3,6,2,6,2,6,4,3,5,6,3,4,5,4,3,4,3,5,3,4,3,2,3,2,4,3,4,4,5,4,3,5,6,5,5,6,6,5,6,6,7,5,6,5,7,5,6,4,4,7,7,3,3,4,6,2,7,6,7,6,6,3,6,3,5,4,6,6,5,4,5,5,4,3,5,5,6,5,4,6,3,4,4,6,3,3,4,4,3,4,4,3,3,3,4,3,1,1,2,1,28,Asian,6,1,1,2,1,1,5974
R_3EAzSfNntv0Nfkl,Default Response Set,Anonymous,,,43.249.226.198,0,2018-05-08 11:38,2018-05-08 11:43,1,1,6,4,3,5,2,3,7,6,4,6,4,5,3,7,4,1,3,2,5,6,4,2,3,5,1,3,2,4,3,5,4,5,2,1,3,2,4,5,4,2,3,6,5,7,3,4,1,5,6,3,2,5,4,4,7,5,9,8,3,2,6,5,3,6,4,5,8,7,6,3,3,7,5,4,6,1,4,2,3,7,5,6,4,2,1,3,5,7,6,9,5,3,5,4,1,3,5,4,3,3,1,2,4,1,1,7,2,28,White,3,2,3,2,2,1,4615
R_3qgOVWoOXKrgD7R,Default Response Set,Anonymous,,,190.124.31.45,0,2018-05-08 11:38,2018-05-08 11:43,1,1,4,2,4,5,3,2,4,3,5,4,2,3,5,4,5,2,3,4,3,5,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,3,2,3,4,5,6,4,3,6,2,3,4,5,3,5,4,2,4,3,6,3,5,6,5,4,3,4,5,6,5,3,4,5,2,3,4,5,6,5,3,3,4,5,4,3,2,3,4,5,4,3,5,7,5,1,3,4,5,4,3,4,3,1,2,3,4,1,1,6,2,31,Latin,14,7,7,7,3,1,8887
R_7aFzSqrxJCJJnj3,Default Response Set,Anonymous,,,174.227.129.18,0,2018-05-08 11:34,2018-05-08 11:43,1,1,2,2,4,6,3,5,3,3,4,6,3,2,3,3,2,6,4,4,3,6,4,2,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,2,2,6,6,2,6,3,2,1,4,3,2,6,4,2,8,5,3,3,6,2,8,2,5,6,4,6,6,8,2,8,2,2,1,2,4,3,5,4,2,6,7,5,5,5,3,6,6,7,5,4,9,2,4,5,3,3,3,3,4,3,2,1,2,1,1,1,3,2,32,White,6,5,5,5,3,1,1127
R_2cw6BEBZhKLkquX,Default Response Set,Anonymous,,,24.209.229.22,0,2018-05-08 11:32,2018-05-08 11:43,1,1,6,7,6,2,2,2,1,7,7,3,6,1,5,2,1,4,2,3,2,6,2,2,2,3,4,2,4,2,1,4,2,3,2,4,1,4,4,4,6,7,1,1,6,1,6,6,1,6,1,7,1,1,7,3,7,2,8,4,8,5,7,2,2,3,2,8,2,8,2,8,5,2,5,6,6,3,5,5,4,5,3,2,3,5,4,6,5,6,5,3,7,1,3,1,1,3,1,3,3,4,4,3,4,1,1,3,1,55,Caucasian,7,2,2,2,1,1,8339
R_3qZHXn6iapqhKkm,Default Response Set,Anonymous,,,104.166.242.110,0,2018-05-08 11:29,2018-05-08 11:43,1,1,1,3,2,2,3,2,4,4,4,6,4,5,3,4,4,5,5,1,4,2,4,2,3,4,4,4,4,3,3,3,2,3,3,4,3,4,4,4,1,1,4,6,2,4,3,3,1,6,4,4,4,3,5,6,8,6,1,7,4,6,1,5,1,4,4,1,6,2,7,4,5,4,6,7,7,5,4,1,4,6,3,5,3,7,2,5,5,6,7,8,3,5,4,4,4,4,4,5,3,3,2,3,1,1,1,1,2,70,white,9,7,7,7,3,1,A318H1S7PKSPV5
R_3dX4sUtOnj15DbR,Default Response Set,Anonymous,,,96.236.213.182,0,2018-05-08 11:36,2018-05-08 11:43,1,1,7,7,7,1,1,1,1,6,7,2,6,1,7,1,1,5,3,5,1,7,2,2,2,2,3,3,2,2,2,3,2,2,4,2,2,3,2,2,7,7,1,1,7,1,7,7,2,7,1,7,1,1,7,2,6,2,9,2,8,2,8,2,8,2,2,8,1,9,1,4,1,1,4,1,1,1,2,1,7,2,1,4,7,3,7,2,2,6,3,1,7,1,3,1,1,1,1,1,3,4,4,4,4,1,1,3,2,35,white,7,1,1,1,1,1,5741
R_3EiKVQYmavL1bLF,Default Response Set,Anonymous,,,24.196.23.214,0,2018-05-08 11:32,2018-05-08 11:44,1,1,5,5,6,2,2,5,3,5,6,3,5,3,5,3,3,3,3,3,3,5,4,3,4,4,4,5,4,5,4,4,4,3,3,4,4,4,4,4,6,6,3,1,6,6,6,6,1,6,5,6,1,7,7,8,7,7,6,9,2,8,5,6,6,7,8,7,7,8,2,2,6,5,7,5,6,6,5,5,4,7,7,5,2,7,5,6,7,6,7,3,6,5,5,5,4,5,4,5,3,3,3,2,2,1,1,2,1,32,White,4,7,7,7,3,1,3525
R_2w48amG54b3nVhN,Default Response Set,Anonymous,,,68.59.119.74,0,2018-05-08 11:28,2018-05-08 11:44,1,1,7,7,7,1,1,2,2,6,7,5,6,2,5,2,2,2,2,5,2,7,4,2,3,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,7,6,2,2,6,2,7,7,1,7,1,7,1,1,7,6,8,2,8,3,8,3,8,3,6,3,3,8,2,9,1,3,2,2,6,6,3,3,4,3,5,5,3,3,4,3,5,5,5,5,5,1,7,3,3,1,3,3,1,1,3,4,4,4,4,1,1,11,1,59,Asian American,3,2,2,2,2,1,1434
R_3lXGgbDoMmFrNBG,Default Response Set,Anonymous,,,98.167.30.122,0,2018-05-08 11:28,2018-05-08 11:44,1,1,5,4,5,5,2,2,3,3,5,5,4,4,3,3,3,6,5,3,3,5,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,6,4,1,6,3,6,4,2,5,4,6,2,1,7,6,4,6,6,7,8,6,4,4,6,2,6,7,6,7,3,4,5,5,6,6,5,5,5,5,3,5,5,5,3,5,3,5,5,5,6,6,5,4,4,4,3,4,3,4,3,2,2,3,3,1,1,1,1,26,Caucasian,4,6,6,6,2,1,9920
R_2e3Rz1mflhT1efa,Default Response Set,Anonymous,,,70.129.182.115,0,2018-05-08 11:32,2018-05-08 11:44,1,1,5,5,5,3,2,3,3,5,4,6,2,5,1,3,2,6,5,2,3,5,3,4,4,2,4,4,4,3,3,4,5,4,4,4,4,4,4,4,3,6,1,1,6,1,6,6,1,6,1,6,2,1,5,4,6,5,7,6,6,4,2,2,6,4,2,2,3,7,4,9,3,1,5,5,5,3,5,6,5,5,2,6,3,5,4,5,6,5,5,5,5,4,3,3,3,3,4,4,3,3,3,4,4,1,1,1,2,35,caucasian,7,5,3,6,2,1,3693
R_2P7HulLLxKn7CJS,Default Response Set,Anonymous,,,68.107.152.84,0,2018-05-08 11:33,2018-05-08 11:44,1,1,7,7,7,1,1,1,1,4,7,1,7,1,7,1,5,1,1,3,1,6,2,3,3,2,4,3,4,1,1,3,3,4,3,1,1,4,3,4,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,6,9,1,9,1,9,1,9,1,9,1,4,5,1,9,1,9,4,1,7,7,7,1,1,5,7,3,1,5,7,7,6,2,4,5,3,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,1,64,Native American,2,1,1,1,2,1,1646
R_3Dj9wyWRiAPaAV5,Default Response Set,Anonymous,,,172.58.136.179,0,2018-05-08 11:30,2018-05-08 11:44,1,1,6,6,6,1,1,1,1,6,6,7,4,2,3,2,1,6,2,2,1,6,1,1,1,1,1,5,2,1,2,1,2,2,3,2,2,1,1,2,7,7,1,1,7,1,5,7,1,7,1,7,1,1,7,2,8,2,8,2,6,1,8,2,8,5,1,8,2,8,2,6,3,2,6,3,4,1,7,3,6,2,2,2,6,4,6,5,3,5,1,1,7,3,3,3,3,3,3,3,3,4,4,4,4,1,1,6,2,39,White,1,1,1,1,1,1,8393
R_2tkR95OHhwF3m1D,Default Response Set,Anonymous,,,184.91.146.245,0,2018-05-08 11:30,2018-05-08 11:44,1,1,5,6,6,2,2,1,1,5,7,5,4,2,4,3,3,5,5,1,5,4,2,2,2,3,3,3,2,2,1,3,2,2,2,3,2,3,3,3,6,6,1,1,6,2,6,6,2,6,2,6,2,1,4,2,3,3,7,8,8,5,3,5,6,4,1,1,3,9,4,8,4,2,3,3,1,2,2,2,5,2,3,1,3,4,5,4,3,4,3,4,6,3,3,1,1,1,1,3,3,3,3,2,2,1,1,6,2,30,white,2,2,2,2,4,1,6004
R_xye0enEm8ICoMmJ,Default Response Set,Anonymous,,,71.200.207.15,0,2018-05-08 11:36,2018-05-08 11:44,1,1,7,7,7,1,1,1,1,5,6,4,5,2,7,2,2,5,3,2,1,6,2,2,2,2,4,4,2,2,1,4,1,2,1,4,1,4,4,4,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,1,5,1,9,2,9,1,8,1,9,2,3,1,8,9,1,8,2,1,5,2,5,1,5,7,6,1,1,4,6,5,7,5,2,2,1,2,7,3,3,1,1,1,1,1,3,4,4,3,3,1,1,5,1,22,Black/Latino,5,2,2,2,1,1,9613
R_25zrVDWCktuVAEQ,Default Response Set,Anonymous,,,184.7.6.139,0,2018-05-08 11:37,2018-05-08 11:44,1,1,5,5,5,4,5,5,5,4,4,4,5,4,5,5,5,5,5,6,6,6,4,3,4,4,2,4,4,4,3,4,4,3,3,4,3,3,4,4,6,5,4,5,5,6,6,6,5,5,6,6,6,5,5,8,7,7,6,7,8,7,8,8,8,8,7,9,8,7,6,7,5,5,6,6,5,5,6,6,5,5,5,5,6,6,5,5,5,6,6,8,4,4,3,4,4,4,4,3,3,3,3,3,3,1,1,1,2,37,white,3,4,4,4,3,1,9962
R_1mUfrQVNJPa7wMt,Default Response Set,Anonymous,,,70.190.7.134,0,2018-05-08 11:29,2018-05-08 11:44,1,1,5,6,6,1,2,1,1,7,7,6,5,3,5,1,3,5,3,3,2,6,3,3,3,2,3,3,3,4,2,3,2,3,2,4,2,2,3,3,5,7,1,1,7,1,7,7,1,7,1,7,1,1,7,4,8,1,8,5,5,4,7,2,7,4,2,5,1,9,2,5,4,3,5,6,4,2,3,4,5,4,2,6,4,6,4,5,4,5,4,4,5,3,4,1,3,3,3,1,3,4,3,4,3,1,1,6,2,55,Caucasian ,2,5,5,5,1,1,1388
R_3lSSp9s2t9Vk4Fw,Default Response Set,Anonymous,,,168.167.93.6,0,2018-05-08 11:30,2018-05-08 11:44,1,1,7,7,6,2,1,1,2,3,7,3,6,2,6,1,1,3,3,5,1,6,3,2,2,2,2,4,2,1,1,2,1,3,2,1,2,2,3,3,6,6,1,2,6,1,5,7,2,7,1,7,1,1,7,5,9,2,9,1,8,4,9,8,6,1,4,9,5,6,2,9,5,3,6,6,7,3,4,6,5,5,3,1,2,1,3,7,5,4,2,3,6,3,1,3,1,3,1,3,3,4,3,4,3,1,1,3,2,22,Black,4,2,2,2,1,1,9658
R_2VjT0ksZ4iJ7Qn5,Default Response Set,Anonymous,,,184.176.116.248,0,2018-05-08 11:35,2018-05-08 11:44,1,1,7,7,7,1,1,1,1,7,7,5,7,1,7,1,1,5,2,3,1,7,2,2,2,2,4,4,2,2,2,4,2,4,4,4,2,4,4,4,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,7,2,9,2,9,1,8,1,9,2,1,9,1,9,1,9,2,1,5,6,7,1,5,6,6,3,2,6,5,6,6,5,3,5,2,1,7,1,1,1,1,1,1,3,3,4,4,4,4,1,1,3,2,29,White,2,1,1,1,1,1,6074
R_1NDryxu1fnYgtzZ,Default Response Set,Anonymous,,,98.16.26.243,0,2018-05-08 11:28,2018-05-08 11:44,1,1,6,6,6,2,2,2,2,6,6,2,6,2,6,2,2,4,2,4,2,6,4,4,3,3,4,4,4,4,3,4,4,3,4,4,3,4,3,4,6,6,2,2,6,2,6,6,2,6,3,6,3,2,6,4,6,2,7,2,6,4,7,3,7,3,3,6,5,8,2,7,4,4,4,6,5,3,6,4,5,5,4,5,4,6,5,5,5,4,4,3,7,3,3,3,3,3,3,3,3,4,4,4,4,1,1,11,2,52,Caucasian,12,3,3,4,1,1,2763
R_PzHkyX4x78cFYUF,Default Response Set,Anonymous,,,104.174.21.254,0,2018-05-08 11:40,2018-05-08 11:44,1,1,7,1,7,5,6,3,5,5,4,4,5,6,4,4,3,4,4,4,4,5,3,3,3,4,4,3,2,4,4,4,3,3,4,3,3,3,3,3,5,5,4,5,4,5,6,5,4,4,7,6,5,4,3,6,7,6,6,5,5,7,7,7,7,6,5,8,7,5,5,4,5,5,4,3,6,5,5,4,4,4,4,3,5,4,4,6,6,6,5,6,5,4,4,1,3,1,4,4,3,3,2,1,2,1,1,8,2,29,Native American,3,4,4,4,2,1,9099
R_1mI5KUJS71ZIXiW,Default Response Set,Anonymous,,,50.206.111.30,0,2018-05-08 11:34,2018-05-08 11:45,1,1,4,2,3,4,3,3,5,2,6,6,2,6,2,4,4,6,7,2,4,5,4,3,4,3,4,4,4,4,3,4,3,5,3,5,3,4,4,4,2,1,3,1,2,4,2,2,1,4,1,4,1,1,4,7,3,6,5,9,8,8,2,5,2,8,7,5,3,3,5,5,4,4,5,6,6,5,4,5,3,6,6,4,2,4,3,6,6,6,6,7,4,4,5,4,1,4,4,4,3,2,1,2,1,1,1,1,1,55,White,12,7,7,7,3,1,2121
R_2E6JyeeDoqOa6XM,Default Response Set,Anonymous,,,156.72.30.1,0,2018-05-08 11:36,2018-05-08 11:45,1,1,6,6,6,2,2,2,2,6,6,2,6,2,6,2,2,3,3,4,2,6,2,1,1,1,4,1,4,2,2,4,2,2,3,4,2,4,4,4,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,8,2,8,2,8,2,6,2,8,2,2,5,2,8,2,8,2,2,2,1,3,1,1,2,6,2,2,1,6,6,6,4,2,1,1,1,7,1,3,1,1,1,1,1,3,4,4,4,4,1,1,1,2,39,Caucasian,5,1,1,1,1,1,9023
R_1jfzOFW8CoYHj9n,Default Response Set,Anonymous,,,174.17.160.85,0,2018-05-08 11:29,2018-05-08 11:45,1,1,2,2,2,7,6,2,2,6,7,3,6,2,6,6,7,6,7,2,7,2,2,2,4,2,4,2,4,2,2,2,2,4,2,4,2,4,4,4,1,1,1,1,1,1,1,1,7,7,1,1,1,1,7,7,2,7,2,8,2,8,1,2,2,7,8,1,9,1,9,1,2,2,2,6,5,3,2,2,2,5,6,2,3,2,2,5,6,2,6,10,1,3,4,5,1,1,1,5,3,3,1,3,1,1,1,1,1,1946,Caucasian,11,6,6,7,3,1,5294
R_1pVyRdrDVZxoTy1,Default Response Set,Anonymous,,,50.247.171.165,0,2018-05-08 11:35,2018-05-08 11:45,1,1,7,7,7,2,1,1,1,2,7,4,6,2,6,2,3,5,1,4,3,6,4,3,3,3,3,5,3,3,3,3,3,3,3,3,4,4,3,3,7,6,1,1,6,1,6,5,1,7,3,6,1,1,7,5,9,1,9,3,7,5,9,1,9,1,1,5,1,9,1,9,4,2,5,4,5,1,4,5,6,4,1,3,4,4,6,4,4,3,1,2,7,1,4,1,1,1,1,1,3,4,4,4,4,1,1,3,2,24,White,2,2,2,2,1,1,4418
R_1FyW2B0YYqS05tu,Default Response Set,Anonymous,,,74.95.83.109,0,2018-05-08 11:28,2018-05-08 11:45,1,1,4,5,4,5,3,5,4,4,3,5,5,3,4,5,4,4,5,3,6,3,4,4,4,3,3,4,4,4,3,5,4,3,4,4,3,4,4,4,5,7,6,5,6,5,6,6,5,5,5,6,6,6,4,6,6,7,8,8,6,5,5,5,6,6,6,7,6,7,7,7,5,5,6,5,6,6,6,6,5,5,5,6,6,5,5,5,6,6,4,5,5,4,4,3,3,4,4,4,3,3,3,3,2,1,1,4,2,25,Caucasian ,7,6,6,6,3,1,4063
R_Dq36ewrbrndodbj,Default Response Set,Anonymous,,,172.58.152.50,0,2018-05-08 11:35,2018-05-08 11:45,1,1,5,5,5,2,2,2,1,4,6,4,4,4,4,2,4,4,3,3,4,5,2,2,2,2,4,3,3,1,2,3,2,3,1,3,3,3,3,3,6,5,4,4,5,2,7,5,2,5,1,7,1,1,6,4,3,6,7,5,5,5,4,6,5,6,3,2,5,6,4,5,5,4,5,4,4,3,4,4,4,4,3,4,4,6,4,4,5,5,4,7,6,4,4,3,4,4,5,4,3,3,3,3,3,1,1,1,1,28,Asian,4,3,2,4,1,1,5669
R_27NA3d09gy1A2EB,Default Response Set,Anonymous,,,68.231.247.24,0,2018-05-08 11:34,2018-05-08 11:45,1,1,7,7,7,1,1,1,1,7,7,2,7,1,7,1,1,1,1,7,1,7,1,2,1,1,2,3,2,1,1,1,1,2,1,2,1,1,2,1,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,7,9,1,9,1,8,3,9,1,9,1,4,9,1,9,1,7,2,1,3,4,1,1,5,5,5,6,5,4,2,6,7,5,6,5,7,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,2,24,Caucasian,14,2,2,2,2,1,8543
R_1LzNhaYmfcsAYqa,Default Response Set,Anonymous,,,192.189.247.154,0,2018-05-08 11:38,2018-05-08 11:45,1,1,6,6,6,2,2,2,2,6,6,3,4,5,4,2,2,3,2,2,2,6,2,2,2,2,2,4,1,2,1,2,2,4,2,3,3,2,4,2,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,8,2,6,2,8,2,7,2,6,2,3,7,2,9,1,6,5,2,3,2,2,1,5,5,6,2,2,5,3,2,6,3,3,2,2,1,7,3,3,3,3,3,3,3,3,3,4,3,4,1,1,2,1,23,White,5,1,1,1,1,1,7473
R_1OqQQnAITwcLGg2,Default Response Set,Anonymous,,,216.66.74.22,0,2018-05-08 11:39,2018-05-08 11:45,1,1,7,7,7,7,1,1,1,4,7,5,7,1,7,1,1,1,1,7,1,7,2,3,2,3,2,3,3,2,3,3,3,2,3,3,2,2,2,2,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,9,1,9,1,9,2,9,1,9,1,1,9,1,9,1,9,4,4,7,4,5,4,7,1,4,3,4,2,7,7,4,4,4,4,4,1,7,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,2,47,caucasian,5,5,5,4,3,1,1679
R_2PvtriTwMnW8IdP,Default Response Set,Anonymous,,,107.77.202.57,0,2018-05-08 11:35,2018-05-08 11:45,1,1,5,5,5,3,2,2,2,4,6,5,6,3,5,3,4,5,3,5,2,6,2,2,2,2,3,4,2,2,1,3,2,3,2,2,2,3,3,3,5,6,3,2,6,3,5,5,2,6,2,5,2,2,6,6,6,4,7,6,6,6,5,6,6,6,4,3,3,6,3,4,5,4,6,5,6,5,5,5,4,6,3,5,4,5,4,6,5,5,5,4,5,3,4,3,3,4,3,4,3,4,3,4,3,1,1,4,2,30,Caucasian ,5,4,5,2,1,1,2108
R_2dT0OuhZe4KyCqI,Default Response Set,Anonymous,,,72.220.126.46,0,2018-05-08 11:36,2018-05-08 11:45,1,1,6,5,5,2,2,3,2,3,6,4,5,2,5,3,4,5,2,2,3,5,2,1,2,2,4,3,2,1,1,2,1,3,2,2,2,2,3,2,6,5,4,3,5,2,6,5,3,4,1,5,2,1,5,3,5,2,8,6,6,4,5,3,6,5,3,2,5,6,2,5,2,1,5,5,4,3,6,2,6,4,3,4,5,6,6,6,4,3,3,4,5,3,3,1,1,3,1,1,3,3,3,2,2,1,1,6,1,22,pacific islander,6,3,2,4,1,1,5326
R_2tJCe3ureS1jrQw,Default Response Set,Anonymous,,,71.227.173.55,0,2018-05-08 11:33,2018-05-08 11:45,1,1,7,7,7,1,1,1,2,6,7,7,2,3,1,2,2,3,3,2,2,6,2,2,2,3,3,3,4,2,2,4,2,2,3,4,2,4,4,4,7,7,1,1,7,1,7,7,1,7,1,7,1,1,7,2,9,2,9,2,5,3,9,2,8,2,2,8,1,9,1,7,2,2,6,6,7,3,5,2,6,3,3,5,3,4,6,5,3,4,3,1,7,1,3,1,1,4,1,1,3,4,4,4,4,1,1,6,2,54,Caucasian ,1,2,2,2,1,1,
R_b2wZV6rq440Ra5H,Default Response Set,Anonymous,,,67.253.58.34,0,2018-05-08 11:31,2018-05-08 11:45,1,1,5,5,5,4,3,2,6,6,6,6,4,1,3,4,3,7,4,2,3,4,2,2,2,3,4,3,4,2,2,4,2,4,3,4,1,4,3,4,3,3,3,1,4,1,5,5,1,5,1,2,1,1,5,6,6,4,6,5,6,6,3,6,4,3,3,2,4,7,4,2,7,2,7,7,5,1,7,7,4,5,4,4,5,7,5,7,5,6,6,7,2,3,4,4,1,4,3,4,3,3,2,2,2,1,1,1,2,37,White,7,6,6,6,3,1,9916
R_XF09kkiH1qusTct,Default Response Set,Anonymous,,,107.173.140.3,0,2018-05-08 11:42,2018-05-08 11:45,1,1,5,5,6,3,4,7,3,5,6,2,6,4,5,6,4,5,7,2,5,3,3,5,4,2,1,3,2,2,5,4,5,3,1,4,3,5,4,4,3,5,4,5,5,1,3,6,5,7,4,3,4,2,5,4,7,6,3,2,5,9,7,6,6,5,2,3,5,4,7,9,2,5,7,3,3,2,6,5,4,4,7,6,3,1,2,5,3,6,5,7,5,3,5,4,4,1,3,5,3,2,3,3,1,1,1,6,1,26,African American,7,6,5,4,1,1,7668
R_1gNDyc32ZCcq8Nj,Default Response Set,Anonymous,,,72.21.159.196,0,2018-05-08 11:35,2018-05-08 11:45,1,1,5,6,5,1,1,1,2,3,7,7,4,1,4,1,2,5,2,1,1,7,3,2,3,3,4,4,3,2,2,4,3,4,2,5,4,4,3,4,5,5,5,1,6,3,5,5,2,6,2,6,3,3,5,2,9,2,8,3,7,4,7,1,8,2,3,8,1,9,1,7,3,1,5,5,4,1,5,5,6,3,2,1,6,4,5,4,4,5,2,3,7,1,1,1,1,1,1,1,3,3,3,3,3,1,1,3,1,66,white/Caucasian,13,3,3,5,2,1,1503
